"","year","Btm_sal_tmp","ColdPool","fallZavg","springZavg"
"1",1970,-0.353081988657003,-0.173734316354507,0.828841989278819,-0.298221497948458
"2",1971,1.72686300920341,-0.168302877277851,-0.271538231264539,0.760839277083889
"3",1972,4.66166325001632,0.439260923910568,0.172217986071988,0.313807204949748
"4",1973,3.92530059682595,-0.235647862762587,-0.77885366623132,0.122231046412987
"5",1974,3.68757040676498,0.294916419369683,0.127721447874203,0.669088933556716
"6",1975,4.72427739620576,0.532022743972013,0.137875682579528,0.0749895232368471
"7",1976,3.78672465700598,0.785946673835551,0.391993929792181,-0.406982888855673
"8",1977,2.91887503540913,-1.42043019878757,-0.760354450819019,0.958531440685928
"9",1978,3.39041714528308,-0.853705376723711,-0.422798023417827,1.03471078763205
"10",1979,6.00942369944107,-2.43268774063612,-0.713688040748957,1.78481222331562
"11",1980,4.28728474724573,-1.72421746032671,0.1527535346968,1.59124444748133
"12",1981,3.38971003912353,-1.0383812961629,-0.967844388301934,1.44197545801889
"13",1982,3.69876423272407,-0.0667404613808245,0.699070595590987,0.614521490660848
"14",1983,4.09215253882501,-1.62765051303444,-0.672569053284533,1.69892245038456
"15",1984,5.54705899741199,-0.208615120336018,-0.123774524938487,0.536447749942436
"16",1985,4.90173896294799,0.626894699065232,0.0227986155598505,-0.0925999234034965
"17",1986,5.34442503890827,-0.251574278630991,-0.745342360988206,0.849709883783865
"18",1987,4.28468014795584,-0.926983162782377,-0.648876682820296,0.793180427705658
"19",1988,5.06484614198645,-0.282563419058656,-0.779104529522531,0.561803111830595
"20",1989,6.40503149635797,0.063960601305217,0.298050699713789,0.386593138640178
"21",1990,4.47634931770063,-0.279156656053767,0.467641380733309,0.547583264767396
"22",1991,2.99119744024819,-1.1261028342374,-0.394682005805905,1.59976454910408
"23",1992,5.78045425335696,0.416707340911705,-0.838515669384255,0.449976525169407
"24",1993,4.38894333969845,-1.89715302773877,-0.468628187362707,1.73857578512697
"25",1994,4.17339128510988,-0.478029537881265,0.201877690721984,0.595942684573798
"26",1995,2.87328952550679,0.140233986713535,0.0231604970485029,0.220904612541866
"27",1996,1.34118246347633,-1.23369240395268,-0.565193916396076,1.35429710081201
"28",1997,-0.202402517821461,0.140833408599723,-0.0222270606111416,0.870061014422734
"29",1998,0.343057107851489,-1.94541442918093,0.806406131498856,0.825576281150775
"30",1999,0.754160593274337,0.780670579532729,-0.0498142362333272,-0.243095985069703
"31",2000,0.62019543667654,-0.459494707151295,-0.144239425776846,1.10609683486701
"32",2001,0.10413653081974,-0.733287637993176,-0.52546862207235,0.75514415320976
"33",2002,-0.268075168219402,-1.32327480038973,-1.01718466840195,1.66441582950709
"34",2003,-0.106031301726621,-1.63185892709679,-1.93853013236895,1.4757411665994
"35",2004,-0.318832256606949,-1.02768577427244,-1.92785058220009,1.15487374589473
"36",2005,-0.079938402161274,-1.30873054599182,-1.50710826635243,0.832345419205381
"37",2006,-1.51293480398466,0.0880009554170548,0.662671498285801,0.181402585700851
"38",2007,0.947816994762719,0.696336785738507,-0.854745465072833,-0.778835984234193
"39",2008,0.190214434200399,0.738242657893629,-0.161022076204025,-0.759438652258481
"40",2009,-0.443893769725316,0.726432100272081,0.605274205668642,-0.486425129808145
"41",2010,1.94523751849071,0.630010763888158,-0.218170763322889,-0.427462150623895
"42",2011,0.713206619240881,0.144110734586184,0.910668717081945,-0.75804368705645
"43",2012,0.0814048966771121,0.8800864823823,1.80802897001565,-1.27261080141447
"44",2013,-1.04047038584872,0.521433779082614,0.585964137066822,0.0160031403905919
"45",2014,-0.344144325998926,-1.26209676476308,-0.808388044814984,1.31867795542382
"46",2015,-0.952072450291224,-1.14724820170571,-1.04823009054281,1.36020064748079
"47",2016,0.415635272476786,-2.01530929279174,-1.48205108816132,1.60653207639959
"48",2017,0.83382668694277,-0.0624224656593119,2.01157462969088,0.723477493071159
